CODE,NAME
S50073,"PT BAMBINI INDONESIA"
S50074,"PT DISTRIVERSA BUANAMAS (TIGER BALM - MR.P)"
S50075,"UD SUDAISIGN (FOOD)"
S50076,"PT MOGALLANA PLASTIC"
S50077,"PT MAP AKTIF ADIPERKASA (LEGO)"
S50078,"AR BALI (FOOD)"
S50079,"PT GAMBINO ARTISAN PRIMA"
S50080,"PT SUMBER PANGAN SEJAHTERA (ARNOTTS JAKARTA)"
S50081,"PT JAVABICA ANEKA RESOURCES"
S50082,"PT DUA KELINCI JAKARTA"
S50083,"WH SMITH SINGAPORE PTE LTD"
S50084,"PT ARMASCO PRIMA (JAKARTA)"
S50085,"PT ANEKA COKLAT KAKOA (KRAKAKOA)"
S50086,"PT ANUGERAH SINERGI RAYA"
S50087,"PT BALI BINTANG SEJAHTERA"
S50088,"PT MULTISARI LANGGENGJAYA"
S50089,"PT CLAVISINDO BERJAYA"
S50090,"PT JAMAFAC"
S50091,"PT SINAR SOSRO BALI"
S50092,"CV CITRA PANGAN SENTOSA"
S50093,"PT DISTRIVERSA BUANAMAS (JAKARTA)"
S50094,"PT PANGAN LESTARI (JAKARTA)"
S50095,"PT BINTANG GRAHA MAKMUR"
S50096,"PT MEDINA DEBEUZ INDAH (PALETAS WEY)"
S50097,"PT MUNTI CAHAYA SEJAHTERA"
S50098,"YUDI FAMILY GROUP"
S50099,"PT SURYA MUSTIKA NUSANTARA (JTI JAKARTA NEW)"
S50100,"PT TIGARAKSA SATRIA TBK (JAKARTA)"
S50101,"SCHÄFER AIRPORT RETAIL GMBH"
S50102,"PT PERJALANAN BIRU AKSESORIS INDONESIA"
S50103,"HACHETTE UK DISTRIBUTION LIMITED (HUKD)"
S50104,"WHSMITH INDONESIA"
S50105,"PT MAS ASIH"
S50106,"PT TIRTA INVESTAMA (DANONE JAKARTA)"
S50107,"PT KARYA PRATAMA GEMILANG (PERFETTI)"
S50108,"CV RUMAH OLEH - OLEH"
S50109,"ALIKA SNACK"
S50110,"PT UNIRAMA DUTA NIAGA (JAKARTA)"
S50111,"UD GUNA AMERTA SARI (SARI ROTI)"
S50112,"APD SINGAPORE PTE LTD"
S50113,"MASON CHOCOLATE BALI"
S50114,"MATAHARI WALET"
S50115,"PT SAMSONITE INDONESIA"
S50116,"PT TRAVEL BLUE INDONESIA"
S50117,"UD RAJAWALI PERKASA"
S50118,"MUOVE SYSTEMS LLP"
S50119,"PT PULAU EMAS GEMILANG"
S50120,"PT MIA CHIA SNACK"
S50121,"UD SUMBER BAHAGIA"
S50122,"PT PRIMASARI ETERNA"
S50123,"PT MASUYA GRAHA TRIKENCANA (JAKARTA)"
S50124,"CV CLIK"
S50126,"PT DEUS EXMACHINA INDONESIA"
S50127,"PT SARANA ABADI MAKMUR BERSAMA (COLLINS)"
S50128,"UD PASIFIK INDAH GARMENT"
S50129,"CV CLIK (ECO BAG WHOLESALE)"
S50130,"PT BALI FRUIT"
S50131,"PT DWINIAGA PRATAMA SARANA (TEH KEPALA DJENGGOT)"
S50132,"CV GLORY FOOD INDONESIA"
S50133,"PT DEWATA INTI PANGAN"
S50134,"PT MASUYA GRAHA TRIKENCANA (BALI)"
S50135,"FRIDA"
S50136,"CV SAMUDRA TOYS INDONESIA"
